,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Senegal_June_19_2018_World_Cup,1,0,8,2,1.0,1.0,13,1,26,17,2159,131,90.3,110,81.5,41,49.4,0.5,0,11,8,12,15,21,494,154,229,117,53.3,14,51,50.0,1.5,0.0,11.0,1
Russia_June_19_2018_World_Cup,2,2,11,3,1.2,1.2,21,4,30,27,2424,191,84.9,99,67.3,34,43.0,0.7,2,21,13,6,18,28,582,154,244,196,58.3,28,63,54.5,1.0,0.0,9.0,3
Egypt_June_19_2018_World_Cup,1,0,12,0,1.4,0.6,26,2,35,19,2732,153,84.5,162,80.6,51,54.8,1.1,3,15,12,9,22,30,618,182,278,164,46.7,15,50,45.5,1.4,2.0,14.5,0
Portugal_June_20_2018_World_Cup,1,1,10,2,1.2,1.2,18,2,23,15,2305,148,82.2,97,78.2,42,48.3,0.8,2,29,19,18,5,32,556,216,251,93,57.1,7,48,46.7,0.5,1.0,11.8,3
Morocco_June_20_2018_World_Cup,0,0,15,4,0.9,0.9,30,0,33,21,2413,216,88.5,106,73.6,37,48.1,0.8,4,20,11,12,10,10,643,147,298,207,60.0,14,62,53.3,0.8,0.0,,0
Uruguay_June_20_2018_World_Cup,1,1,13,3,1.7,1.7,21,1,37,11,2875,207,88.1,202,89.4,36,66.7,0.9,2,19,8,7,10,14,642,140,382,123,70.0,13,45,53.8,0.4,0.0,12.3,3
Saudi_Arabia_June_20_2018_World_Cup,0,0,8,2,0.3,0.3,16,0,37,12,2591,293,94.5,139,88.0,59,60.2,0.4,3,17,8,12,9,13,699,177,378,152,52.6,18,52,46.2,1.8,1.0,8.6,0
IR_Iran_June_20_2018_World_Cup,0,0,7,0,0.7,0.7,9,0,19,5,1326,63,75.9,53,71.6,32,40.0,0.6,3,16,11,17,12,41,358,181,129,54,76.9,2,45,42.4,0.4,0.0,4.5,0
Spain_June_20_2018_World_Cup,1,0,18,3,2.6,2.6,31,2,73,30,3378,399,94.5,253,89.7,51,68.9,1.8,0,8,5,3,5,14,904,150,411,349,73.9,40,44,57.6,0.0,0.0,11.5,3
Denmark_June_21_2018_World_Cup,1,1,10,5,0.8,0.8,18,2,49,9,2818,176,89.3,191,89.7,35,58.3,1.1,4,20,12,11,11,28,611,135,345,133,53.3,12,44,46.9,1.4,0.0,8.0,1
